Temperature Offsets
Date of Calibration:,10-29-18,11:02:45
TOP:,1.49,BOT:,0.48
LED Calibration:,500

TIME,PLATE,TUBE,DISK TOP,DISK BOTTOM,FLUID TEMP,PIEZO CURRENT, LED CURRENT
09:04:46,77.63,60.95,66.72,65.59,66.35,0, ,
09:04:56,76.82,60.92,66.73,65.64,66.37,0, ,
09:05:06,76.85,60.83,66.70,65.62,66.34,0, ,
09:05:16,77.01,60.81,66.72,65.62,66.36,0, ,
09:05:26,76.56,60.86,66.75,65.66,66.39,0, ,
09:05:36,77.06,60.68,66.71,65.63,66.35,0, ,
09:05:46,76.29,60.59,66.72,65.60,66.35,0, ,
09:05:56,76.23,60.55,66.70,65.62,66.33,0, ,
09:06:06,76.79,60.49,66.73,65.58,66.35,0, ,
09:06:16,76.40,60.46,66.71,65.61,66.34,0, ,
09:06:26,76.42,60.46,66.68,65.60,66.32,0, ,
09:06:36,76.26,60.36,66.70,65.58,66.33,0, ,
09:06:46,76.42,60.30,66.66,65.60,66.31,0, ,
09:06:56,76.99,60.27,66.64,65.58,66.29,0, ,
09:07:06,76.25,60.22,66.69,65.60,66.33,0, ,
09:07:16,76.00,60.16,66.70,65.60,66.33,0, ,
09:07:26,75.99,60.11,66.68,65.59,66.31,0, ,
09:07:36,75.96,60.04,66.63,65.59,66.29,0, ,
09:07:46,76.67,60.01,66.61,65.58,66.27,0, ,
09:07:56,76.14,59.98,66.64,65.60,66.29,0, ,
09:08:06,76.12,59.92,66.65,65.59,66.30,0, ,
09:08:16,76.51,59.92,66.68,65.57,66.31,0, ,
09:08:26,75.80,59.82,66.67,65.62,66.32,0, ,
09:08:36,76.05,59.90,66.66,65.59,66.30,0, ,
09:08:46,75.86,59.76,66.64,65.59,66.29,0, ,
09:08:56,75.69,59.73,66.61,65.62,66.28,0, ,
09:09:06,76.44,59.67,66.58,65.58,66.24,0, ,
09:09:16,75.66,59.64,66.62,65.58,66.27,0, ,
09:09:26,75.86,59.60,66.59,65.55,66.25,0, ,
09:09:36,75.95,59.55,66.63,65.58,66.28,0, ,
09:09:46,75.61,59.52,66.62,65.56,66.28,0, ,
09:09:56,76.20,59.49,66.60,65.58,66.26,0, ,
09:10:06,75.53,59.44,66.61,65.57,66.27,0, ,
09:10:16,75.61,59.43,66.59,65.57,66.25,0, ,
09:10:26,76.12,59.38,66.59,65.57,66.25,0, ,
09:10:36,75.64,59.34,66.59,65.57,66.25,0, ,
09:10:46,75.83,59.29,66.57,65.58,66.23,0, ,
09:10:56,70.90,59.28,66.61,65.55,66.26,0, ,
09:11:06,75.37,59.25,66.59,65.59,66.24,0, ,
09:11:16,76.27,59.20,66.56,65.54,66.22,0, ,
09:11:26,75.72,59.15,66.57,65.56,66.24,0, ,
09:11:36,75.41,59.15,66.57,65.58,66.24,0, ,
09:11:46,75.49,59.11,66.61,65.57,66.27,0, ,
09:11:56,74.96,59.08,66.63,65.56,66.28,0, ,
09:12:06,75.62,59.02,66.57,65.57,66.23,0, ,
09:12:16,74.90,58.96,66.58,65.57,66.24,0, ,
09:12:26,74.87,58.93,66.54,65.54,66.21,0, ,
09:12:36,74.98,58.90,66.52,65.54,66.20,0, ,
09:12:46,75.27,58.87,66.54,65.51,66.19,0, ,
09:12:56,75.75,58.88,66.53,65.50,66.20,0, ,
09:13:06,75.22,58.87,66.57,65.56,66.23,0, ,
09:13:16,75.06,58.77,66.55,65.55,66.22,0, ,
09:13:26,75.35,58.74,66.56,65.54,66.22,0, ,
09:13:36,74.71,58.70,66.53,65.52,66.19,0, ,
09:13:46,75.04,58.65,66.51,65.52,66.18,0, ,
09:13:56,75.04,58.67,66.53,65.52,66.19,0, ,
09:14:06,74.84,58.61,66.53,65.52,66.19,0, ,
09:14:16,75.31,58.59,66.49,65.49,66.16,0, ,
09:14:26,74.90,58.54,66.52,65.49,66.18,0, ,
09:14:36,74.94,58.50,66.52,65.51,66.18,0, ,
09:14:46,60.27,58.50,66.52,65.48,66.18,0, ,
09:14:56,74.88,58.51,66.53,65.50,66.19,0, ,
09:15:06,75.17,58.44,66.50,65.49,66.16,0, ,
09:15:16,74.91,58.41,66.50,65.47,66.16,0, ,
09:15:26,75.04,58.38,66.49,65.48,66.16,0, ,
09:15:36,75.64,58.35,66.47,65.50,66.15,0, ,
09:15:46,75.20,58.36,66.52,65.50,66.18,0, ,
09:15:56,75.33,58.35,66.54,65.48,66.20,0, ,
09:16:06,75.24,58.32,66.52,65.51,66.19,0, ,
09:16:16,74.70,58.25,66.55,65.53,66.21,0, ,
09:16:26,74.54,58.24,66.50,65.54,66.18,0, ,
09:16:36,74.06,58.18,66.49,65.51,66.17,0, ,
09:16:46,74.25,58.16,66.43,65.51,66.12,0, ,
09:16:56,75.01,58.15,66.48,65.47,66.14,0, ,
09:17:06,74.80,58.10,66.47,65.49,66.15,0, ,
09:17:16,75.71,58.10,66.45,65.47,66.12,0, ,
09:17:26,75.30,58.07,66.52,65.48,66.17,0, ,
09:17:36,75.07,58.13,66.51,65.53,66.18,0, ,
09:17:46,75.23,58.09,66.54,65.51,66.20,0, ,
09:17:56,56.34,58.03,66.52,65.52,66.19,0, ,
09:18:06,74.50,58.00,66.48,65.52,66.16,0, ,
09:18:16,74.56,57.98,66.49,65.52,66.17,0, ,
09:18:26,74.38,57.92,66.50,65.49,66.16,0, ,
09:18:36,75.37,57.92,66.44,65.51,66.13,0, ,
09:18:46,74.28,57.92,66.48,65.53,66.15,0, ,
09:18:56,74.40,57.86,66.46,65.50,66.14,0, ,
09:19:06,74.47,57.86,66.46,65.50,66.14,0, ,
09:19:16,74.28,57.84,66.49,65.48,66.15,0, ,
09:19:26,75.21,57.81,66.44,65.47,66.12,0, ,
09:19:36,74.62,57.78,66.45,65.49,66.13,0, ,
09:19:46,74.66,57.77,66.45,65.48,66.13,0, ,
09:19:56,75.32,57.77,66.47,65.46,66.14,0, ,
09:20:06,74.58,57.78,66.49,65.48,66.15,0, ,
09:20:16,74.43,57.74,66.46,65.51,66.14,0, ,
09:20:26,74.13,57.69,66.48,65.49,66.15,0, ,
09:20:36,73.92,57.66,66.46,65.52,66.16,0, ,
09:20:46,74.46,57.63,66.43,65.49,66.11,0, ,
09:20:56,73.90,57.63,66.44,65.49,66.13,0, ,
09:21:06,74.29,57.58,66.41,65.47,66.09,0, ,
09:21:16,74.56,57.60,66.42,65.46,66.10,0, ,
09:21:26,74.42,57.57,66.44,65.45,66.11,0, ,
09:21:36,75.14,57.54,66.40,65.46,66.09,0, ,
09:21:46,74.45,57.55,66.48,65.49,66.14,0, ,
09:21:56,74.04,57.54,66.48,65.48,66.15,0, ,
09:22:06,73.84,57.51,66.46,65.48,66.13,0, ,
09:22:16,73.56,57.48,66.42,65.46,66.10,0, ,
09:22:26,73.87,57.43,66.37,65.43,66.06,0, ,
09:22:36,73.77,57.40,66.37,65.41,66.06,0, ,
09:22:46,58.28,57.40,66.36,65.38,66.03,0, ,
09:22:56,74.98,57.37,66.37,65.41,66.05,0, ,
09:23:06,74.62,57.38,66.38,65.41,66.05,0, ,
09:23:16,74.85,57.37,66.41,65.41,66.07,0, ,
09:23:26,74.95,57.37,66.46,65.44,66.11,0, ,
09:23:36,74.43,57.35,66.46,65.44,66.12,0, ,
09:23:46,75.02,57.35,66.43,65.46,66.11,0, ,
09:23:56,74.15,57.34,66.50,65.48,66.16,0, ,
09:24:06,73.81,57.31,66.43,65.47,66.12,0, ,
09:24:16,74.43,57.31,66.45,65.48,66.12,0, ,
09:24:26,73.82,57.29,66.44,65.45,66.11,0, ,
09:24:36,74.17,57.26,66.41,65.48,66.09,0, ,
09:24:46,73.96,57.25,66.42,65.45,66.09,0, ,
09:24:56,73.84,57.22,66.42,65.45,66.10,0, ,
09:25:06,74.20,57.20,66.41,65.48,66.10,0, ,
09:25:16,73.63,57.18,66.39,65.46,66.07,0, ,
09:25:26,73.85,57.14,66.34,65.44,66.04,0, ,
09:25:36,74.11,57.17,66.38,65.41,66.06,0, ,
09:25:46,74.14,57.12,66.37,65.40,66.05,0, ,
09:25:56,75.15,57.14,66.37,65.40,66.06,0, ,
09:26:06,74.45,57.14,66.44,65.45,66.11,0, ,
09:26:16,64.51,57.14,66.42,65.44,66.09,0, ,
09:26:26,74.32,57.14,66.46,65.45,66.12,0, ,
09:26:36,73.82,57.11,66.43,65.46,66.11,0, ,
09:26:46,73.97,57.09,66.41,65.47,66.09,0, ,
09:26:56,73.63,57.09,66.39,65.46,66.08,0, ,
09:27:06,73.76,57.06,66.39,65.48,66.09,0, ,
09:27:16,74.39,57.05,66.39,65.46,66.08,0, ,
09:27:26,73.74,57.03,66.37,65.44,66.07,0, ,
09:27:36,73.94,57.03,66.38,65.46,66.08,0, ,
09:27:46,74.21,57.02,66.40,65.42,66.08,0, ,
09:27:56,74.27,57.02,66.41,65.45,66.08,0, ,
09:28:06,74.02,56.99,66.43,65.45,66.10,0, ,
09:28:16,73.41,56.97,66.41,65.45,66.09,0, ,
09:28:26,65.65,56.99,66.39,65.44,66.08,0, ,
09:28:36,73.89,56.97,66.38,65.42,66.07,0, ,
09:28:46,73.70,56.96,66.40,65.43,66.07,0, ,
09:28:56,74.10,56.94,66.37,65.43,66.06,0, ,
09:29:06,73.68,56.92,66.41,65.43,66.08,0, ,
09:29:16,73.73,56.91,66.38,65.41,66.06,0, ,
09:29:26,74.49,56.91,66.35,65.42,66.04,0, ,
09:29:36,73.82,56.89,66.40,65.41,66.08,0, ,
09:29:46,74.18,56.91,66.39,65.41,66.06,0, ,
09:29:56,74.10,56.89,66.46,65.43,66.12,0, ,
09:30:06,73.69,56.86,66.40,65.43,66.08,0, ,
09:30:16,74.45,56.88,66.40,65.42,66.07,0, ,
09:30:26,73.54,56.86,66.42,65.44,66.09,0, ,
09:30:36,73.41,56.82,66.41,65.43,66.08,0, ,
09:30:46,73.46,56.82,66.40,65.42,66.08,0, ,
09:30:56,73.16,56.82,66.38,65.44,66.05,0, ,
09:31:06,73.94,56.82,66.33,65.43,66.03,0, ,
09:31:16,73.74,56.80,66.36,65.40,66.04,0, ,
09:31:26,73.69,56.80,66.37,65.40,66.06,0, ,
09:31:36,74.44,56.79,66.38,65.40,66.05,0, ,
09:31:46,74.00,56.80,66.39,65.41,66.06,0, ,
09:31:56,73.71,56.79,66.41,65.41,66.08,0, ,
